fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
115,person,0.84,6,60,240,171,488,,0.0,0,0,0,0,
115,car,0.436,9,1262,311,1294,347,,0.0,0,0,0,0,
116,truck,0.506,1,1295,236,1430,376,MATRICULA,0.484,1588,379,1634,392,MATRICULA
116,car,0.788,5,1421,321,1517,382,,0.0,0,0,0,0,
116,person,0.809,6,74,239,172,485,,0.0,0,0,0,0,
117,bus,0.56,1,1293,236,1429,375,MATRICULA,0.484,1588,379,1634,392,MATRICULA
117,car,0.798,5,1420,320,1517,382,,0.0,0,0,0,0,
117,person,0.791,6,87,238,173,482,,0.0,0,0,0,0,
118,bus,0.609,1,1291,236,1429,374,MATRICULA,0.484,1588,379,1634,392,MATRICULA
118,car,0.8,5,1420,320,1516,382,,0.0,0,0,0,0,
118,person,0.752,6,95,238,174,481,,0.0,0,0,0,0,
118,car,0.411,9,1259,312,1291,346,,0.0,0,0,0,0,
119,bus,0.647,1,1291,237,1428,374,MATRICULA,0.484,1588,379,1634,392,MATRICULA
119,car,0.797,5,1418,321,1516,382,,0.0,0,0,0,0,
119,person,0.727,6,101,240,180,479,,0.0,0,0,0,0,
119,car,0.431,9,1259,313,1291,347,,0.0,0,0,0,0,
120,bus,0.681,1,1290,237,1427,374,MATRICULA,0.484,1588,379,1634,392,MATRICULA
120,car,0.764,5,1419,321,1516,382,,0.0,0,0,0,0,
120,person,0.771,6,107,239,184,479,,0.0,0,0,0,0,
121,bus,0.681,1,1290,238,1427,373,MATRICULA,0.484,1588,379,1634,392,MATRICULA
121,car,0.745,5,1417,321,1517,382,,0.0,0,0,0,0,
121,person,0.768,6,111,241,191,480,,0.0,0,0,0,0,
122,bus,0.661,1,1289,238,1427,373,MATRICULA,0.484,1588,379,1634,392,MATRICULA
122,car,0.738,5,1418,321,1517,382,,0.0,0,0,0,0,
122,person,0.811,6,113,242,200,479,,0.0,0,0,0,0,
123,bus,0.659,1,1289,239,1425,373,MATRICULA,0.484,1588,379,1634,392,MATRICULA
123,car,0.741,5,1420,321,1517,382,,0.0,0,0,0,0,
123,person,0.804,6,115,245,207,477,,0.0,0,0,0,0,
123,car,0.404,9,1245,315,1289,346,,0.0,0,0,0,0,
124,bus,0.654,1,1288,239,1423,373,MATRICULA,0.484,1588,379,1634,392,MATRICULA
124,car,0.75,5,1421,321,1517,382,,0.0,0,0,0,0,
124,person,0.792,6,116,248,213,477,,0.0,0,0,0,0,
124,car,0.527,9,1243,315,1289,346,,0.0,0,0,0,0,
125,bus,0.661,1,1289,239,1421,373,MATRICULA,0.484,1588,379,1634,392,MATRICULA
125,car,0.745,5,1422,322,1517,381,,0.0,0,0,0,0,
