fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
42,car,0.703,2,1302,318,1346,359,,0.0,0,0,0,0,
42,car,0.469,4,1224,318,1259,343,,0.0,0,0,0,0,
43,bus,0.935,1,1340,176,1636,416,,0.0,0,0,0,0,
43,car,0.749,2,1302,317,1345,359,,0.0,0,0,0,0,
43,car,0.473,4,1224,318,1258,343,,0.0,0,0,0,0,
44,bus,0.935,1,1340,178,1631,416,,0.0,0,0,0,0,
44,car,0.714,2,1302,317,1344,359,,0.0,0,0,0,0,
44,car,0.487,4,1224,318,1258,342,,0.0,0,0,0,0,
45,bus,0.934,1,1340,179,1625,415,,0.0,0,0,0,0,
45,car,0.709,2,1302,317,1343,358,,0.0,0,0,0,0,
45,car,0.514,4,1223,317,1258,342,,0.0,0,0,0,0,
45,person,0.42,5,1034,309,1055,366,,0.0,0,0,0,0,
46,bus,0.933,1,1340,181,1623,414,,0.0,0,0,0,0,
46,car,0.687,2,1302,317,1341,357,,0.0,0,0,0,0,
46,car,0.496,4,1223,318,1258,342,,0.0,0,0,0,0,
47,bus,0.932,1,1338,183,1622,415,,0.0,0,0,0,0,
47,car,0.654,2,1301,316,1339,356,,0.0,0,0,0,0,
47,car,0.488,4,1223,318,1258,342,,0.0,0,0,0,0,
48,bus,0.925,1,1337,184,1621,417,,0.0,0,0,0,0,
48,car,0.579,2,1300,316,1338,356,,0.0,0,0,0,0,
48,car,0.484,4,1223,318,1259,342,,0.0,0,0,0,0,
49,bus,0.927,1,1337,185,1615,415,,0.0,0,0,0,0,
49,car,0.544,2,1299,316,1337,355,,0.0,0,0,0,0,
49,car,0.468,4,1223,317,1259,342,,0.0,0,0,0,0,
50,bus,0.926,1,1336,186,1606,414,,0.0,0,0,0,0,
50,car,0.472,2,1299,315,1336,355,,0.0,0,0,0,0,
50,car,0.484,4,1223,317,1259,342,,0.0,0,0,0,0,
51,bus,0.934,1,1337,187,1601,414,,0.0,0,0,0,0,
51,car,0.474,2,1299,317,1335,354,,0.0,0,0,0,0,
51,car,0.477,4,1223,317,1259,342,,0.0,0,0,0,0,
52,bus,0.919,1,1335,187,1600,411,,0.0,0,0,0,0,
52,car,0.448,4,1223,317,1259,342,,0.0,0,0,0,0,
53,bus,0.915,1,1334,189,1594,410,,0.0,0,0,0,0,
53,car,0.461,4,1223,317,1259,342,,0.0,0,0,0,0,
54,bus,0.908,1,1333,190,1589,411,,0.0,0,0,0,0,
54,car,0.426,4,1223,317,1259,342,,0.0,0,0,0,0,
55,bus,0.92,1,1334,190,1581,410,,0.0,0,0,0,0,
55,car,0.433,4,1223,317,1259,342,,0.0,0,0,0,0,
56,bus,0.912,1,1335,192,1577,409,,0.0,0,0,0,0,
56,car,0.407,4,1223,317,1259,342,,0.0,0,0,0,0,
57,bus,0.917,1,1334,192,1574,409,,0.0,0,0,0,0,
57,car,0.401,4,1223,317,1259,342,,0.0,0,0,0,0,
58,bus,0.923,1,1333,193,1571,408,,0.0,0,0,0,0,
58,car,0.426,4,1223,317,1259,342,,0.0,0,0,0,0,
59,bus,0.918,1,1332,194,1566,406,,0.0,0,0,0,0,
60,bus,0.903,1,1330,195,1562,406,,0.0,0,0,0,0,
61,bus,0.913,1,1329,197,1559,406,,0.0,0,0,0,0,
61,car,0.414,2,1291,318,1326,358,,0.0,0,0,0,0,
61,car,0.447,4,1222,318,1259,342,,0.0,0,0,0,0,
62,bus,0.914,1,1328,198,1556,405,,0.0,0,0,0,0,
62,car,0.459,2,1291,319,1325,357,,0.0,0,0,0,0,
62,car,0.421,4,1222,319,1259,342,,0.0,0,0,0,0,
63,bus,0.903,1,1327,198,1552,404,,0.0,0,0,0,0,
63,car,0.539,2,1290,320,1325,356,,0.0,0,0,0,0,
64,bus,0.892,1,1326,197,1549,403,,0.0,0,0,0,0,
64,car,0.48,2,1290,320,1324,356,,0.0,0,0,0,0,
64,car,0.424,4,1222,319,1259,342,,0.0,0,0,0,0,
65,bus,0.902,1,1327,199,1544,402,,0.0,0,0,0,0,
65,car,0.475,2,1291,320,1324,356,,0.0,0,0,0,0,
65,car,0.441,4,1222,319,1259,342,,0.0,0,0,0,0,
66,bus,0.911,1,1326,201,1539,401,,0.0,0,0,0,0,
66,car,0.466,2,1291,319,1324,355,,0.0,0,0,0,0,
66,car,0.441,4,1222,319,1259,341,,0.0,0,0,0,0,
67,bus,0.908,1,1324,203,1536,398,,0.0,0,0,0,0,
67,car,0.477,2,1292,319,1324,355,,0.0,0,0,0,0,
68,bus,0.907,1,1324,204,1533,398,,0.0,0,0,0,0,
68,car,0.464,2,1292,319,1324,355,,0.0,0,0,0,0,
69,bus,0.909,1,1325,205,1529,397,,0.0,0,0,0,0,
69,car,0.421,2,1291,320,1324,354,,0.0,0,0,0,0,
70,bus,0.908,1,1324,206,1525,395,,0.0,0,0,0,0,
70,car,0.442,2,1289,320,1324,354,,0.0,0,0,0,0,
71,bus,0.908,1,1321,207,1524,394,,0.0,0,0,0,0,
